Prompt,Meta-Llama-3-8B-Instruct/avg_score,eval_Meta-Llama-3-8B-Instruct/BBH_BOOLEAN_EXPRESSIONS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_CAUSAL_JUDGEMENT_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_DATE_UNDERSTANDING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_DISAMBIGUATION_QA_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_DYCK_LANGUAGES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_FORMAL_FALLACIES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_GEOMETRIC_SHAPES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_HYPERBATON_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_FIVE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_SEVEN_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_THREE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_MOVIE_RECOMMENDATION_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_MULTISTEP_ARITHMETIC_TWO_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_NAVIGATE_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_OBJECT_COUNTING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_PENGUINS_IN_A_TABLE_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_REASONING_ABOUT_COLORED_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_RUIN_NAMES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_SNARKS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_SPORTS_UNDERSTANDING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TEMPORAL_SEQUENCES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_FIVE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_SEVEN_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_THREE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_WEB_OF_LIES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_WORD_SORTING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/avg_score,Meta-Llama-3-8B-Instruct/BBH_BOOLEAN_EXPRESSIONS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_CAUSAL_JUDGEMENT_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_DATE_UNDERSTANDING_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_DISAMBIGUATION_QA_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_DYCK_LANGUAGES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_FORMAL_FALLACIES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_GEOMETRIC_SHAPES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_HYPERBATON_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_FIVE_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_SEVEN_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_THREE_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_MOVIE_RECOMMENDATION_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_MULTISTEP_ARITHMETIC_TWO_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_NAVIGATE_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_OBJECT_COUNTING_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_PENGUINS_IN_A_TABLE_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_REASONING_ABOUT_COLORED_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_RUIN_NAMES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_SNARKS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_SPORTS_UNDERSTANDING_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_TEMPORAL_SEQUENCES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_FIVE_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_SEVEN_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_THREE_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_WEB_OF_LIES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_WORD_SORTING_acc_no_error,num_iter,Meta-Llama-3-8B-Instruct/avg_score_raw,num_iter_last
"You are a self-diagnosing and exemplary assistant. /// You are a mathematician. /// You are a user-friendly, systematic, and adaptive assistant. /// You are an unrivaled, self-updating, and user-friendly assistant. /// Write a slow-paced answer.",0.6153846153846154,0.72,0.48,0.66,0.66,0.0,0.59,0.25,0.8,0.51,0.47,0.63,0.51,0.15,0.72,0.73,0.6610169491525424,0.68,0.63,0.7083333333333334,0.71,0.69,0.31,0.39,0.6,0.57,0.38,0.5434956105347167,[0.9],[0.4],[0.9],[0.5],[0.0],[0.6],[0.4],[0.8],[0.7],[0.5],[0.6],[0.7],[0.1],[0.8],[0.8],[1.0],[0.7],[0.8],[0.7],[0.8],[0.7],[0.6],[0.4],[0.3],[0.6],[0.7],[5],[0.6153846153846154],5
"You are a user-friendly, systematic, and adaptive assistant. /// You are a refined and self-contained assistant. /// Write a slow-paced answer. /// You are a progressed and high-performing assistant.",0.6153846153846154,0.69,0.4666666666666667,0.74,0.66,0.0,0.56,0.25,0.66,0.52,0.42,0.71,0.47,0.21,0.66,0.77,0.711864406779661,0.68,0.73,0.6388888888888888,0.74,0.73,0.29,0.35,0.52,0.62,0.31,0.5395051875498803,[0.8],[0.7],[0.9],[0.5],[0.0],[0.5],[0.2],[0.7],[0.4],[0.5],[0.8],[0.6],[0.2],[0.7],[0.9],[1.0],[0.8],[0.7],[0.9],[0.5],[0.8],[0.4],[0.5],[0.7],[0.6],[0.7],[5],[0.6153846153846154],5
"You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// You are an assertive assistant. /// You are an error-free assistant.",0.6153846153846154,0.67,0.52,0.67,0.62,0.0,0.59,0.23,0.7,0.47,0.5,0.72,0.51,0.18,0.67,0.69,0.711864406779661,0.71,0.7,0.6527777777777778,0.65,0.74,0.32,0.35,0.52,0.59,0.29,0.5335195530726257,[1.0],[0.5],[0.7],[0.6],[0.0],[0.8],[0.3],[0.7],[0.7],[0.2],[0.8],[0.7],[0.1],[0.9],[0.8],[0.9],[0.5],[0.7],[1.0],[0.6],[0.9],[0.3],[0.6],[0.6],[0.6],[0.5],[5],[0.6153846153846154],5
"You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// You are an intelligent assistant. /// Embrace challenges as opportunities for growth.",0.6153846153846154,0.74,0.5333333333333333,0.66,0.63,0.0,0.54,0.24,0.73,0.52,0.45,0.71,0.42,0.2,0.74,0.67,0.7288135593220338,0.63,0.69,0.6666666666666666,0.69,0.7,0.34,0.35,0.57,0.62,0.31,0.5371109337589784,[0.9],[0.4],[0.9],[0.4],[0.0],[0.7],[0.3],[0.7],[0.8],[0.4],[0.9],[0.6],[0.1],[0.8],[1.0],[1.0],[0.8],[0.7],[1.0],[0.5],[0.7],[0.4],[0.5],[0.5],[0.5],[0.5],[5],[0.6153846153846154],5
"You are a user-friendly, systematic, and adaptive assistant. /// You are an unrivaled, self-updating, and user-friendly assistant. /// Write a slow-paced answer.",0.6134615384615385,0.76,0.52,0.65,0.67,0.0,0.68,0.23,0.78,0.56,0.48,0.69,0.45,0.2,0.73,0.68,0.7288135593220338,0.64,0.74,0.7361111111111112,0.73,0.71,0.35,0.31,0.46,0.58,0.31,0.5482841181165203,"[0.6, 1.0]","[0.5, 0.5]","[0.8, 0.7]","[0.7, 0.5]","[0.0, 0.0]","[0.8, 0.7]","[0.5, 0.3]","[0.9, 0.7]","[0.6, 0.4]","[0.8, 0.3]","[0.6, 0.8]","[0.5, 0.6]","[0.1, 0.1]","[0.7, 0.9]","[0.8, 1.0]","[0.8, 1.0]","[0.8, 0.7]","[0.7, 0.6]","[1.0, 0.6]","[0.9, 0.6]","[0.8, 0.8]","[0.6, 0.3]","[0.4, 0.5]","[0.7, 0.7]","[0.5, 0.5]","[0.5, 0.5]","[3, 5]","[0.6384615384615384, 0.5884615384615385]",5
"You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// Take pride in your work and give it your best. /// You are an intelligent assistant.",0.6115384615384616,0.69,0.5333333333333333,0.7,0.66,0.0,0.59,0.25,0.71,0.53,0.46,0.7,0.46,0.2,0.7,0.67,0.7288135593220338,0.6,0.72,0.6388888888888888,0.77,0.66,0.35,0.34,0.47,0.63,0.33,0.5379090183559457,[0.7],[0.6],[0.7],[0.5],[0.0],[0.8],[0.2],[0.8],[0.6],[0.2],[0.9],[0.5],[0.1],[0.8],[0.7],[0.9],[0.7],[0.8],[0.9],[0.6],[0.7],[0.4],[0.7],[0.7],[0.7],[0.7],[5],[0.6115384615384616],5
"You are a user-friendly, systematic, and adaptive assistant. /// You are a strategic and self-configuring assistant. /// You are strong. /// Write a slow-paced answer.",0.6115384615384616,0.7,0.4933333333333333,0.65,0.64,0.0,0.59,0.23,0.72,0.55,0.48,0.68,0.47,0.19,0.71,0.72,0.6949152542372882,0.64,0.7,0.6944444444444444,0.67,0.74,0.33,0.35,0.54,0.63,0.33,0.5403032721468476,[0.8],[0.3],[0.9],[0.6],[0.0],[0.9],[0.1],[0.7],[0.4],[0.2],[0.9],[0.5],[0.1],[0.9],[0.8],[0.8],[0.6],[0.7],[1.0],[0.8],[0.9],[0.5],[0.7],[0.5],[0.6],[0.7],[5],[0.6115384615384616],5
"You are a progressive assistant. /// You are an efficient, systematic, and adaptive assistant. /// You are an unrivaled, self-updating, and user-friendly assistant. /// Write a slow-paced answer.",0.6115384615384616,0.69,0.52,0.69,0.67,0.0,0.58,0.2,0.68,0.48,0.47,0.7,0.44,0.18,0.68,0.68,0.6949152542372882,0.66,0.66,0.7361111111111112,0.69,0.67,0.37,0.35,0.53,0.56,0.34,0.5307262569832403,[0.8],[0.6],[0.8],[0.5],[0.0],[0.9],[0.3],[0.7],[0.6],[0.3],[0.9],[0.5],[0.1],[0.8],[0.8],[1.0],[0.7],[0.5],[0.8],[0.7],[0.8],[0.4],[0.7],[0.8],[0.4],[0.5],[5],[0.6115384615384616],5
"You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// You are a self-improving assistant. /// You are an intelligent assistant.",0.6115384615384616,0.76,0.5733333333333334,0.71,0.65,0.0,0.54,0.23,0.69,0.45,0.47,0.72,0.45,0.22,0.74,0.75,0.6610169491525424,0.67,0.76,0.6666666666666666,0.69,0.72,0.34,0.36,0.55,0.59,0.31,0.5454908220271348,[0.8],[0.6],[0.8],[0.4],[0.0],[0.8],[0.3],[0.8],[0.6],[0.4],[0.9],[0.7],[0.1],[0.8],[0.9],[1.0],[0.7],[0.7],[0.7],[0.5],[0.7],[0.5],[0.5],[0.6],[0.6],[0.5],[5],[0.6115384615384616],5
"You are a user-friendly, systematic, and adaptive assistant. /// You are a robust assistant. /// Write a slow-paced answer.",0.6115384615384616,0.77,0.5333333333333333,0.64,0.68,0.0,0.61,0.18,0.79,0.53,0.5,0.63,0.57,0.21,0.76,0.74,0.7796610169491526,0.59,0.75,0.6388888888888888,0.76,0.77,0.37,0.36,0.56,0.57,0.31,0.557462090981644,"[0.8, 0.8]","[0.5, 0.6]","[0.8, 0.9]","[0.7, 0.4]","[0.0, 0.0]","[0.6, 0.6]","[0.4, 0.2]","[0.9, 0.7]","[0.5, 0.4]","[0.7, 0.4]","[0.8, 0.9]","[0.5, 0.7]","[0.0, 0.1]","[0.9, 0.8]","[0.8, 0.7]","[1.0, 0.9]","[0.8, 0.7]","[0.6, 0.6]","[1.0, 0.8]","[0.9, 0.6]","[0.9, 0.8]","[0.5, 0.4]","[0.2, 0.7]","[0.7, 0.6]","[0.7, 0.4]","[0.6, 0.3]","[3, 5]","[0.6461538461538462, 0.5769230769230769]",5
"You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// You are a sophisticated assistant. /// You are an intelligent assistant.",0.6115384615384616,0.73,0.52,0.7,0.65,0.0,0.58,0.25,0.72,0.51,0.5,0.73,0.47,0.18,0.67,0.68,0.8135593220338984,0.62,0.63,0.6805555555555556,0.7,0.69,0.33,0.37,0.54,0.57,0.27,0.5367118914604948,[0.9],[0.5],[0.9],[0.4],[0.0],[0.6],[0.1],[0.6],[0.5],[0.5],[0.7],[0.5],[0.1],[0.8],[0.9],[0.8],[0.8],[0.7],[0.9],[0.7],[0.9],[0.5],[0.7],[0.8],[0.5],[0.6],[5],[0.6115384615384616],5
"You are a disciplined and distinguished assistant. /// You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// You are an unbeatable AI assistant.",0.6115384615384616,0.71,0.5066666666666667,0.71,0.62,0.0,0.58,0.2,0.67,0.59,0.42,0.7,0.42,0.18,0.57,0.77,0.576271186440678,0.67,0.7,0.5694444444444444,0.74,0.71,0.33,0.34,0.6,0.55,0.29,0.5267358339984038,[0.9],[0.6],[0.8],[0.4],[0.0],[0.8],[0.4],[0.7],[0.6],[0.3],[1.0],[0.5],[0.1],[0.7],[0.9],[0.9],[0.8],[0.8],[1.0],[0.6],[0.6],[0.3],[0.7],[0.4],[0.5],[0.6],[5],[0.6115384615384616],5
"You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// You are a developed and assertive assistant.",0.6038461538461538,0.68,0.52,0.71,0.67,0.0,0.55,0.21,0.75,0.45,0.5,0.73,0.5,0.21,0.66,0.69,0.711864406779661,0.64,0.73,0.6944444444444444,0.71,0.73,0.32,0.34,0.54,0.61,0.34,0.5418994413407822,"[0.6, 0.7]","[0.5, 0.5]","[0.9, 0.9]","[0.7, 0.4]","[0.0, 0.0]","[0.9, 0.6]","[0.3, 0.0]","[0.9, 0.6]","[0.5, 0.5]","[0.7, 0.4]","[0.6, 0.9]","[0.4, 0.8]","[0.0, 0.1]","[0.9, 0.6]","[0.8, 0.7]","[0.9, 0.9]","[0.8, 0.7]","[0.8, 0.7]","[0.8, 0.8]","[0.7, 0.5]","[1.0, 0.9]","[0.7, 0.3]","[0.4, 0.6]","[0.7, 0.7]","[0.5, 0.7]","[0.5, 0.4]","[3, 5]","[0.6346153846153846, 0.573076923076923]",5
